ID,MUNICIPIO,DEPARTAMENTO,INVERSION
1,AMAZONAS,AMAZONAS,4580285024.21
2,ANTIOQUIA,ANTIOQUIA,180903991088.09
3,ARAUCA,ARAUCA,11699059311.6
4,ATLANTICO,ATLANTICO,51282052412.26
5,BOGOTA,BOGOTA,67480488422.88
6,BOLIVAR,BOLIVAR,61161247925.76
7,BOYACA,BOYACA,64879878652.77
8,CALDAS,CALDAS,34099900852.81
9,CAQUETA,CAQUETA,21405865105.18
10,CASANARE,CASANARE,22941971048.07
11,CAUCA,CAUCA,61365218810.04
12,CESAR,CESAR,47314645178.57
13,CHOCO,CHOCO,30843902735.3
14,CORDOBA,CORDOBA,78250225982.41
15,CUNDINAMARCA,CUNDINAMARCA,93206536475.7201
16,GUAINIA,GUAINIA,3623681293.29
17,GUAVIARE,GUAVIARE,4133724085.14
18,HUILA,HUILA,72491612828.93
19,LA GUAJIRA,LA GUAJIRA,26608268557.33
20,MAGDALENA,MAGDALENA,65311554024.14
21,META,META,37400554775.6
22,NARIÑO,NARIÑO,72265581102.84
23,NORTE DE SANTANDER,NORTE DE SANTANDER,69656889104.2
24,PUTUMAYO,PUTUMAYO,23461517089.93
25,QUINDIO,QUINDIO,25030128406.59
26,RISARALDA,RISARALDA,32279398166.53
27,SAN ANDRES Y PROVIDENCIA,SAN ANDRES Y PROVIDENCIA,6609326707.59
28,SANTANDER,SANTANDER,68269485057.53
29,SUCRE,SUCRE,42839392068.2
30,TOLIMA,TOLIMA,77634028265.94
31,VALLE DEL CAUCA,VALLE DEL CAUCA,101339895395.95
32,VAUPES,VAUPES,2280951709.52
33,VICHADA,VICHADA,3907498256.79
34,EL ENCANTO,AMAZONAS,136625481.2
35,LA CHORRERA,AMAZONAS,156217422.2
36,LA PEDRERA,AMAZONAS,127718440.6
37,LETICIA,AMAZONAS,2667381971.51
38,MIRITI - PARANA,AMAZONAS,18571401
39,PUERTO ALEGRIA,AMAZONAS,99024013.2
40,PUERTO ARICA,AMAZONAS,108690278.9
41,PUERTO NARIÑO,AMAZONAS,922386111.3
42,PUERTO SANTANDER,AMAZONAS,147691916.9
43,TARAPACA,AMAZONAS,195977987.4
44,ABEJORRAL,ANTIOQUIA,992603694.03
45,ABRIAQUI,ANTIOQUIA,202561049.19
46,ALEJANDRIA,ANTIOQUIA,771506647.73
47,AMAGA,ANTIOQUIA,1334553860.76
48,AMALFI,ANTIOQUIA,1485885122.54
49,ANDES,ANTIOQUIA,1464640747.44
50,ANGELOPOLIS,ANTIOQUIA,373936950.99
51,ANGOSTURA,ANTIOQUIA,783061231.31
52,ANORI,ANTIOQUIA,1130421193.68
53,ANZA,ANTIOQUIA,457004140.99
54,APARTADO,ANTIOQUIA,6748288542.38
55,ARBOLETES,ANTIOQUIA,1601577877.01
56,ARGELIA,ANTIOQUIA,449570047.55
57,ARMENIA,ANTIOQUIA,351155767.88
58,BARBOSA,ANTIOQUIA,1004760720.88
59,BELLO,ANTIOQUIA,6268248644.29
60,BELMIRA,ANTIOQUIA,413703810.18
61,BETANIA,ANTIOQUIA,798522860.54
62,BETULIA,ANTIOQUIA,942444923
63,BRICEÑO,ANTIOQUIA,747557333.23
64,BURITICA,ANTIOQUIA,378411370.68
65,CACERES,ANTIOQUIA,1599174733.82
66,CAICEDO,ANTIOQUIA,621965448.77
67,CALDAS,ANTIOQUIA,2656433192.07
68,CAMPAMENTO,ANTIOQUIA,592091683.03
69,CAÑASGORDAS,ANTIOQUIA,1596550763.53
70,CARACOLI,ANTIOQUIA,448657960.06
71,CARAMANTA,ANTIOQUIA,439876269.39
72,CAREPA,ANTIOQUIA,2675033924.07
73,CAROLINA,ANTIOQUIA,286610595.32
74,CAUCASIA,ANTIOQUIA,2514747008.19
75,CHIGORODO,ANTIOQUIA,3054774715.9
76,CISNEROS,ANTIOQUIA,856901165.76
77,CIUDAD BOLIVAR,ANTIOQUIA,1124018037.29
78,COCORNA,ANTIOQUIA,942793449.45
79,CONCEPCION,ANTIOQUIA,407654904.33
80,CONCORDIA,ANTIOQUIA,652516403.03
81,COPACABANA,ANTIOQUIA,2883382070.79
82,DABEIBA,ANTIOQUIA,1679175495.19
83,DON MATIAS,ANTIOQUIA,1359968796.07
84,EBEJICO,ANTIOQUIA,880618613.92
85,EL BAGRE,ANTIOQUIA,2478996034.57
86,EL CARMEN DE VIBORAL,ANTIOQUIA,1801852505.48
87,EL SANTUARIO,ANTIOQUIA,1505795206.87
88,ENTRERRIOS,ANTIOQUIA,370210978.87
89,ENVIGADO,ANTIOQUIA,4393872829.26
90,FREDONIA,ANTIOQUIA,1033504708.77
91,FRONTINO,ANTIOQUIA,1568629535.2
92,GIRALDO,ANTIOQUIA,642609361.83
93,GIRARDOTA,ANTIOQUIA,2676980910.33
94,GOMEZ PLATA,ANTIOQUIA,517351537.91
95,GRANADA,ANTIOQUIA,825224581.49
96,GUADALUPE,ANTIOQUIA,188564285.77
97,GUARNE,ANTIOQUIA,1653029138.62
98,GUATAPE,ANTIOQUIA,1206516991.37
99,HELICONIA,ANTIOQUIA,411414645.57
100,HISPANIA,ANTIOQUIA,1314940294.02
101,ITAGUI,ANTIOQUIA,4229191708.78
102,ITUANGO,ANTIOQUIA,1279328416.56
103,JARDIN,ANTIOQUIA,452772359.17
104,JERICO,ANTIOQUIA,429643946.13
105,LA CEJA,ANTIOQUIA,1059721929.55
106,LA ESTRELLA,ANTIOQUIA,1301701298.41
107,LA PINTADA,ANTIOQUIA,378439396.34
108,LA UNION,ANTIOQUIA,501233712.23
109,LIBORINA,ANTIOQUIA,890936799.58
110,MACEO,ANTIOQUIA,939434441.44
111,MARINILLA,ANTIOQUIA,1655637269.06
112,MEDELLIN,ANTIOQUIA,25097180677.66
113,MONTEBELLO,ANTIOQUIA,493963532.57
114,MURINDO,ANTIOQUIA,307099518.56
115,MUTATA,ANTIOQUIA,668050993.6
116,NARIÑO,ANTIOQUIA,864491472.98
117,NECHI,ANTIOQUIA,883067007.85
118,NECOCLI,ANTIOQUIA,1905647459.22
119,OLAYA,ANTIOQUIA,291892204.49
120,PEÐOL,ANTIOQUIA,605003446.93
121,PEQUE,ANTIOQUIA,768996010.09
122,PUEBLORRICO,ANTIOQUIA,467444103.97
123,PUERTO BERRIO,ANTIOQUIA,2699700501.28
124,PUERTO NARE,ANTIOQUIA,1193557207.19
125,PUERTO TRIUNFO,ANTIOQUIA,1393409893.32
126,REMEDIOS,ANTIOQUIA,1281052971.79
127,RETIRO,ANTIOQUIA,418083229.27
128,RIONEGRO,ANTIOQUIA,4100672184.43
129,SABANALARGA,ANTIOQUIA,434806788.83
130,SABANETA,ANTIOQUIA,725943709.97
131,SALGAR,ANTIOQUIA,1071129578.49
132,SAN ANDRES DE CUERQUIA,ANTIOQUIA,643584668.78
133,SAN CARLOS,ANTIOQUIA,1199001336.66
134,SAN FRANCISCO,ANTIOQUIA,375494118.99
135,SAN JERONIMO,ANTIOQUIA,805555771.26
136,SAN JOSE DE LA MONTAÑA,ANTIOQUIA,315488376.73
137,SAN JUAN DE URABA,ANTIOQUIA,1327816543.76
138,SAN LUIS,ANTIOQUIA,691370128.39
139,SAN PEDRO,ANTIOQUIA,701008001.03
140,SAN PEDRO DE URABA,ANTIOQUIA,1768705348.83
141,SAN RAFAEL,ANTIOQUIA,609564952.65
142,SAN ROQUE,ANTIOQUIA,1389379260.4
143,SAN VICENTE,ANTIOQUIA,1071204208.38
144,SANTA BARBARA,ANTIOQUIA,1677020407.71
145,SANTA ROSA DE OSOS,ANTIOQUIA,2046596558.1
146,SANTAFE DE ANTIOQUIA,ANTIOQUIA,2087769974.94
147,SANTO DOMINGO,ANTIOQUIA,770903871.41
148,SEGOVIA,ANTIOQUIA,1334013365.79
149,SONSON,ANTIOQUIA,1834202811.5
150,SOPETRAN,ANTIOQUIA,712562101.08
151,TAMESIS,ANTIOQUIA,892104678.47
152,TARAZA,ANTIOQUIA,1790940022.38
153,TARSO,ANTIOQUIA,403905579.27
154,TITIRIBI,ANTIOQUIA,444193492.43
155,TOLEDO,ANTIOQUIA,468340528.49
156,TURBO,ANTIOQUIA,5514903603.05
157,URAMITA,ANTIOQUIA,581520403.27
158,URRAO,ANTIOQUIA,1451040628.27
159,VALDIVIA,ANTIOQUIA,816404883.66
160,VALPARAISO,ANTIOQUIA,493089635.69
161,VEGACHI,ANTIOQUIA,776657420.25
162,VENECIA,ANTIOQUIA,1183691067.23
163,VIGIA DEL FUERTE,ANTIOQUIA,1077847174.83
164,YALI,ANTIOQUIA,391753736.75
165,YARUMAL,ANTIOQUIA,2000139999.07
166,YOLOMBO,ANTIOQUIA,1231017928.27
167,YONDO,ANTIOQUIA,736623926.82
168,ZARAGOZA,ANTIOQUIA,1936485491.57
169,ARAUCA,ARAUCA,3364757356.35
170,ARAUQUITA,ARAUCA,1842378104.81
171,CRAVO NORTE,ARAUCA,258882090.2
172,FORTUL,ARAUCA,1100290108.57
173,PUERTO RONDON,ARAUCA,239831155.7
174,SARAVENA,ARAUCA,2363282946.05
175,TAME,ARAUCA,2529637549.92
176,BARANOA,ATLANTICO,2680097063.91
177,BARRANQUILLA,ATLANTICO,22636173772.26
